SL_Number,Month,Year,Player,Team,Nationality
265,December,2023,Bukayo Saka,Arsenal ,England
266,January,2024,Erling Haaland,Manchester City,Norway
267,February,2024,James Maddison,Tottenham Hotspur,England
268,March,2024,"<a href=""https://www.myfootballfacts.com/england_footy/tottenham-hotspur/heung-min-son-goals/"">Heung-min Son</a>",Tottenham Hotspur ,South Korea
269,April,2024,Mohamed Salah,Liverpool,Egypt
270,August,2024,Harry Maguire,Manchester United ,England
271,September,2024,Dominic Solanke,AFC Bournemouth,England
272,October,2024,Diogo Jota,Liverpool ,Portugal
273,November,2024,Rasmus Højlund,Manchester United ,Denmark
274,December,2024,Rodrigo  Muniz,Fulham ,Brazil
275,January,2024,Cole Palmer,Chelsea ,England
276,February,2025,Erling Haaland,Manchester City,Norway
277,March,2025,Cole Palmer,Chelsea ,England
278,April,2025,Chris Wood,Nottingham Forest,New Zealand
